ID,词,NUM,chinese_text,图,词性,explain,eng_text,jp_text,ara_text,fr_text,de_text,pt_text,spa_text,ru_text
203143,落户,,,"在,家",vn,,,,,,,,,
203145,开工,,,"开始,工作",vn,,,,,,,,,
203147,拉升,,,,vn,,,,,,,,,
203149,乔治,,,"人,J",nr,,,,,,,,,
203151,宏观,,,"全,方面",n,,,,,,,,,
203153,暴力,,,"能力,斗争,打",n,,,,,,,,,
203155,身材,,,"形状,体",n,,,,,,,,,
203157,减轻,,,"变,弱",v,,,,,,,,,
203159,搜救,,,,vn,,,,,,,,,
203161,年率,,,,n,,,,,,,,,
203163,列入,,,"组,里V,放置",v,,,,,,,,,
203169,最早,,,,a,,,,,,,,,
203171,实时,,,"时间,进行,也V",d,,,,,,,,,
203173,近几年,,,,0,,,,,,,,,
203175,公安局,,,"部门,秩序",0,,,,,,,,,
203177,一开始,,,开始N,t,,,,,,,,,
203179,网易,,,,ORG,,,,,,,,,
203181,反腐,,,,vn,,,,,,,,,
203183,加息,,,,vn,,,,,,,,,
203185,引擎,,,"机,力",n,,,,,,,,,
203187,欧美,,,"地区,球,西,北,和,O",LOC,,,,,,,,,
203189,利空,,,,n,,,,,,,,,
203193,亚马逊,,,,nz,,,,,,,,,
203195,编译,,,"信息,操作,语言,换",vn,,,,,,,,,
203197,出演,,,,v,,,,,,,,,
203199,当下,,,"时间,那",t,,,,,,,,,
203201,线路,,,"线,路",n,,,,,,,,,
203205,剩余,,,"留,少V",vn,,,,,,,,,
203207,演习,,,"学习,做,试",1,,,,,,,,,
203209,本场,,,,r,,,,,,,,,
203211,将近,,,"短V,分",d,,,,,,,,,
203215,东京,,,"城市,T,Y,O",LOC,,,,,,,,,
203219,获利,,,"得到,利益",v,,,,,,,,,
203221,致使,,,使,v,,,,,,,,,
203223,贵金属,,,"金属,价格,高",n,,,,,,,,,
203225,商场,,,"企业,对待,买",0,,,,,,,,,
203227,转载,,,"信息,显示,传,换",v,,,,,,,,,
203229,营造,,,建,v,,,,,,,,,
203231,性感,,,"ZA,感觉，性",n,,,,,,,,,
203233,皮球,,,"球,部件,外",n,,,,,,,,,
203235,娱乐圈,,,,n,,,,,,,,,
203237,偿还,,,"给,恢复",v,,,,,,,,,
203239,土豪,,,"人,多,资金",n,,,,,,,,,
203241,国米,,,,ORG,,,,,,,,,
203243,拍照,,,"射,图",vn,,,,,,,,,
203245,打球,,,"球,玩",v,,,,,,,,,
203247,相反,,,反,v,,,,,,,,,
203249,指责,,,"评价,坏",vn,,,,,,,,,
203251,澳网,,,,nz,,,,,,,,,
203253,物质,,,物,n,,,,,,,,,
203255,网购,,,"买,网",vn,,,,,,,,,
203257,获批,,,,v,,,,,,,,,
203259,弥补,,,补,v,,,,,,,,,
203263,日至,,,,d,,,,,,,,,
203267,国际化,,,"国家,全,变",vn,,,,,,,,,
203269,河北省,,,,LOC,,,,,,,,,
203273,充足,,,充分,a,,,,,,,,,
203275,老年人,,,"人,旧",n,,,,,,,,,
203277,东盟,,,,ORG,,,,,,,,,
203279,遵守,,,按照V,v,,,,,,,,,
203281,就算,,,"如果,更",d,,,,,,,,,
203283,光伏,,,,1,,,,,,,,,
203285,诉求,,,,vn,,,,,,,,,
203287,大力,,,努力,d,,,,,,,,,
203291,温和,,,"热,符合A",a,,,,,,,,,
203293,开车,,,"操作,机,动",v,,,,,,,,,
203295,低调,,,"态度,低",a,,,,,,,,,
203297,重回,,,,v,,,,,,,,,
203299,上扬,,,,v,,,,,,,,,
203301,升温,,,"温度,上V",v,,,,,,,,,
203303,公牛,,,"羊,力,雄",ORG,,,,,,,,,
203307,和安,,,,0,,,,,,,,,
203309,服务器,,,"机,想,帮助",n,,,,,,,,,
203311,大批,,,多,m,,,,,,,,,
203313,左侧,,,左,f,,,,,,,,,
203315,住所,,,"房屋,生命V",n,,,,,,,,,
203319,研究院,,,"部门,研究",ORG,,,,,,,,,
203321,诉讼,,,"要求,选择,规则,国家",vn,,,,,,,,,
203323,功效,,,"情况,用N",n,,,,,,,,,
203325,医保,,,,n,,,,,,,,,
203327,踢球,,,,vn,,,,,,,,,
203329,总计,,,"算,多V,全",v,,,,,,,,,
203331,至此,,,"达到,现在",d,,,,,,,,,
203333,比如说,,,"是,例子",v,,,,,,,,,
203335,巨星,,,"人,名,广泛,很",PER,,,,,,,,,
203337,有意,,,故意,v,,,,,,,,,
203339,商户,,,,n,,,,,,,,,
203343,民营企业,,,"企业,投资,自己A",ORG,,,,,,,,,
203345,场内,,,,s,,,,,,,,,
203347,精选,,,"选择,认真,详细",v,,,,,,,,,
203349,期望,,,希望,vn,,,,,,,,,
203351,预示,,,"显示,以前D",v,,,,,,,,,
203353,失联,,,,v,,,,,,,,,
203357,公交车,,,,0,,,,,,,,,
203359,下列,,,下,a,,,,,,,,,
203361,早就,,,"已经,以前D",d,,,,,,,,,
203363,添加,,,多V,vn,,,,,,,,,
203365,女星,,,,n,,,,,,,,,
203367,上世纪,,,,0,,,,,,,,,
203369,下挫,,,,v,,,,,,,,,
203371,鲁尼,,,,PER,,,,,,,,,
203373,收报,,,,vn,,,,,,,,,
203375,中锋,,,,,,,,,,,,,
203377,领袖,,,"领导,最",PER,,,,,,,,,
203379,投行,,,,ORG,,,,,,,,,
203381,开设,,,建,v,,,,,,,,,
203383,广东队,,,,LOC,,,,,,,,,
203389,大奖,,,"物,荣誉,给,大",n,,,,,,,,,
203391,遏制,,,限制,v,,,,,,,,,
203393,搜寻,,,"找,详细",v,,,,,,,,,
203395,三人,,,,0,,,,,,,,,
203399,吐槽,,,,vn,,,,,,,,,
203401,勒夫,,,,PER,,,,,,,,,
203403,部位,,,位置,n,,,,,,,,,
203405,国人,,,"人,国家",PER,,,,,,,,,
203407,干预,,,操作,vn,,,,,,,,,
203409,序号,,,,n,,,,,,,,,
203411,股吧,,,,n,,,,,,,,,
203413,信任,,,相信,v,,,,,,,,,
203415,两岸,,,"地,水,连接,2",n,,,,,,,,,
203417,截图,,,,vn,,,,,,,,,
203419,产权,,,"权力,有,物",n,,,,,,,,,
203421,诈骗,,,"欺骗,得到",vn,,,,,,,,,
203423,产业化,,,"行业,产生,变",vn,,,,,,,,,
203425,页岩气,,,,nz,,,,,,,,,
203427,事务,,,事,n,,,,,,,,,
203429,疲软,,,"难,疲劳",an,,,,,,,,,
203435,首选,,,,vn,,,,,,,,,
203437,新品,,,"生产N,新",n,,,,,,,,,
203439,经审,,,,d,,,,,,,,,
203441,取代,,,"换,达到",v,,,,,,,,,
203443,交给,,,给,v,,,,,,,,,
203445,江苏省,,,,LOC,,,,,,,,,
203447,老婆,,,"人,结婚,雌",n,,,,,,,,,
203449,这部,,,,r,,,,,,,,,
203451,结束了,,,,v,,,,,,,,,
203453,参股,,,"参加,投资",v,,,,,,,,,
203455,财税,,,,n,,,,,,,,,
203457,平板,,,"片,硬,直,面",n,,,,,,,,,
203459,合伙人,,,,,,,,,,,,,
203461,扩展,,,大V,v,,,,,,,,,
203463,汇丰,,,,ORG,,,,,,,,,
203465,招股,,,,vn,,,,,,,,,
203469,比亚迪,,,,ORG,,,,,,,,,
203471,撰写,,,写,v,,,,,,,,,
203473,征战,,,,v,,,,,,,,,
203475,青少年,,,"人,旺盛,生长",n,,,,,,,,,
203479,便宜,,,"低,价格",a,,,,,,,,,
203481,物品,,,物,1,,,,,,,,,
203483,链接,,,"标志,位置,连接",vn,,,,,,,,,
203485,更具,,,,v,,,,,,,,,
203487,新款,,,,n,,,,,,,,,
203489,兑付,,,,v,,,,,,,,,
203491,杨幂,,,,PER,,,,,,,,,
203493,税费,,,"资金,用,资金,要求,国家",n,,,,,,,,,
203495,新政,,,"规则,政府,新",0,,,,,,,,,
203497,官兵,,,"人,集体,斗争",n,,,,,,,,,
203499,教师,,,"人,指导,学习",PER,,,,,,,,,
203501,救助,,,"帮助,消除,危险",vn,,,,,,,,,
203503,约束,,,限制,vn,,,,,,,,,
203505,无人,,,,r,,,,,,,,,
203507,快乐,1,,高兴,A,,,,,,,,,
203509,款项,,,"段,规则",n,,,,,,,,,
203511,丰田,,,,ORG,,,,,,,,,
203513,实质性,,,"性质,真,具体",n,,,,,,,,,
203515,拿着,,,,v,,,,,,,,,
203517,回避,,,"阻止,遇",v,,,,,,,,,
203519,任意球,,,,n,,,,,,,,,
203525,打工,,,"做,工作",v,,,,,,,,,
203527,总冠军,,,,,,,,,,,,,
203529,砍下,,,,v,,,,,,,,,
203531,四强,,,,n,,,,,,,,,
203533,季报,,,,n,,,,,,,,,
203535,主打,,,,v,,,,,,,,,
203537,天猫,,,,0,,,,,,,,,
203539,名将,,,"领导,集体,斗争,广泛,名",PER,,,,,,,,,
203543,而来,,,,v,,,,,,,,,
203545,助力,,,"力,帮助",n,,,,,,,,,
203547,密码,,,"字符,限制,条件",n,,,,,,,,,
203549,导向,,,"向N,指导",n,,,,,,,,,
203551,从一,,,,0,,,,,,,,,
203553,不含,,,,v,,,,,,,,,
203555,导航,,,"机,动,指导",vn,,,,,,,,,
203557,便利,,,容易,an,,,,,,,,,
203559,两个月,,,,0,,,,,,,,,
203561,网游,,,,n,,,,,,,,,
203565,实体,,,"ZN,具体",n,,,,,,,,,
203567,拿地,,,,v,,,,,,,,,
203569,强制,,,强迫,vn,,,,,,,,,
203571,模型,,,"形式,例子,模仿",n,,,,,,,,,
203573,颇为,,,很,d,,,,,,,,,
203575,资管,,,,n,,,,,,,,,
203577,纳达尔,,,,PER,,,,,,,,,
203579,回收,,,"得到,恢复",vn,,,,,,,,,
203581,撤销,,,消除,v,,,,,,,,,
203583,博弈,,,竞争,vn,,,,,,,,,
203585,好处,,,利益,n,,,,,,,,,
203587,好于,,,,v,,,,,,,,,
203589,不符合,,,,v,,,,,,,,,
203591,海洋,,,海,n,,,,,,,,,
203593,搬迁,,,"换,位置",vn,,,,,,,,,
203595,路径,,,路,n,,,,,,,,,
203597,新人,,,"人,新",PER,,,,,,,,,
203599,哪个,,,什么,r,,,,,,,,,
203603,打响,,,"声音,产生,打",v,,,,,,,,,
203605,右侧,,,右,f,,,,,,,,,
203607,打法,,,"方法,做",n,,,,,,,,,
203609,眼睛,,,眼,n,,,,,,,,,
203611,激活,,,"使,反应,主动",v,,,,,,,,,
203613,流转,,,流,vn,,,,,,,,,
203615,入围,,,里V,v,,,,,,,,,
203619,取决于,,,按照,v,,,,,,,,,
203621,差不多,,,大约,a,,,,,,,,,
203623,客观,,,"真,具体",an,,,,,,,,,
203625,主线,,,"线,主要",n,,,,,,,,,
203627,指令,,,"要求,强迫",n,,,,,,,,,
203629,和日,,,,0,,,,,,,,,
203631,流动,,,流,vn,,,,,,,,,
203633,南方,,,南,s,,,,,,,,,
203635,增大,,,大V,v,,,,,,,,,
203637,课程,,,"段,学习,指导",n,,,,,,,,,
203639,波什,,,,PER,,,,,,,,,
203641,演唱会,,,,n,,,,,,,,,
203643,中证,,,,nt,,,,,,,,,
203645,预估,,,"评价,试,以前D",vn,,,,,,,,,
203647,保障房,,,,nz,,,,,,,,,
203651,预约,,,"选择,固定,以前D",v,,,,,,,,,
203653,公示,,,"告诉,显示,开",v,,,,,,,,,
203655,影视,,,"图,变",n,,,,,,,,,
203657,套现,,,,v,,,,,,,,,
203659,国庆,,,"日,祝贺,国家",0,,,,,,,,,
203661,货物,,,"物,卖",n,,,,,,,,,
203667,日子,,,时间,n,,,,,,,,,
203669,新版,,,"段,发展,新",n,,,,,,,,,
203671,绝杀,,,,n,,,,,,,,,
203673,澄清,,,"清楚,经过,光",v,,,,,,,,,
203675,率领,,,"指导,跟随",v,,,,,,,,,
203677,毛泽东,,,,PER,,,,,,,,,
203679,基数,,,"数量,基础A",n,,,,,,,,,
203681,收窄,,,,v,,,,,,,,,
203683,私人,,,"ZA,自己",n,,,,,,,,,
203685,掌控,,,,v,,,,,,,,,
203687,排行榜,,,,n,,,,,,,,,
203689,小孩,,,"人,生长",PER,,,,,,,,,
203691,出生,,,产生,v,,,,,,,,,
203695,人家,,,家,r,,,,,,,,,
203697,副局长,,,,,,,,,,,,,
203699,加索尔,,,,PER,,,,,,,,,
203701,优雅,,,"美,风格",a,,,,,,,,,
203703,细分,,,"分,认真,详细",vn,,,,,,,,,
203705,奖杯,,,"容器,手,荣誉",n,,,,,,,,,
203707,为国,,,,d,,,,,,,,,
203709,说到,,,"说,达到",v,,,,,,,,,
203711,通讯,,,"传,信息",n,,,,,,,,,
203713,募资,,,,vn,,,,,,,,,
203715,榜首,,,"位置,秩序0,1",n,,,,,,,,,
203717,能不能,,,"可以,或,可以,不",v,,,,,,,,,
203719,本年,,,,0,,,,,,,,,
203721,最具,,,,v,,,,,,,,,
203723,谈及,,,"说,达到",v,,,,,,,,,
203725,如同,,,像,v,,,,,,,,,
203727,房贷,,,,n,,,,,,,,,
203729,平米,,,"单位,面",nt,,,,,,,,,
203731,万达,,,,ORG,,,,,,,,,
203733,期指,,,,n,,,,,,,,,
203737,火箭队,,,,ORG,,,,,,,,,
203739,中发,,,,n,,,,,,,,,
203741,投向,,,"向,射,手",v,,,,,,,,,
203743,症状,,,"显示N,病",n,,,,,,,,,
203745,工行,,,,0,,,,,,,,,
203747,抛售,,,,vn,,,,,,,,,
203749,倾向于,,,,v,,,,,,,,,
203751,中报,,,,n,,,,,,,,,
203753,伴随,,,"跟随,一起",v,,,,,,,,,
203755,尺寸,,,"数量,长",n,,,,,,,,,
203759,眼中,,,"里,眼",s,,,,,,,,,
203761,奢侈品,,,"生产N,需要,固定,不,价格,高",n,,,,,,,,,
203763,期权,,,,n,,,,,,,,,
203771,中一,,,,m,,,,,,,,,
203775,稿源,,,,n,,,,,,,,,
203777,佣金,,,"资金,帮助,做",n,,,,,,,,,
203779,在即,,,"将,快",v,,,,,,,,,
203781,东方,,,东,s,,,,,,,,,
203783,彰显,,,,v,,,,,,,,,
203787,便捷,,,"容易,快",a,,,,,,,,,
203791,身价,,,"价格,人",n,,,,,,,,,
203793,头球,,,,n,,,,,,,,,
203795,开发者,,,,n,,,,,,,,,
203797,和政,,,,LOC,,,,,,,,,
203801,内外,,,"外,里",f,,,,,,,,,
203803,被曝,,,,v,,,,,,,,,
203805,跟进,,,跟随,v,,,,,,,,,
203807,房产税,,,,nz,,,,,,,,,
203809,约翰逊,,,,PER,,,,,,,,,
203811,在业,,,"位置,工作,承担,现在D",n,,,,,,,,,
203813,后发,,,,vn,,,,,,,,,
203819,机身,,,"体,机",n,,,,,,,,,
203821,胸部,,,"部分,前面,体",n,,,,,,,,,
203823,年限,,,"数量,年,限制",n,,,,,,,,,
203825,仅次于,,,"超过,反,只",v,,,,,,,,,
203827,整车,,,,n,,,,,,,,,
203829,前场,,,,n,,,,,,,,,
203831,发动,,,"使,主动",v,,,,,,,,,
203833,点位,,,,n,,,,,,,,,
203835,相似,,,像,a,,,,,,,,,
203837,牵头,,,"做,以前D,最",v,,,,,,,,,
203839,总共,,,"算,多V,全",d,,,,,,,,,
203841,中俄,,,,LOC,,,,,,,,,
203843,较快,,,,a,,,,,,,,,
203845,跳水,,,"水,跳",vn,,,,,,,,,
203847,局部,,,部分A,n,,,,,,,,,
203849,跌停,,,,v,,,,,,,,,
203851,各家,,,"家,各",r,,,,,,,,,
203853,此役,,,,r,,,,,,,,,
203855,沪市,,,,nz,,,,,,,,,
203857,完整性,,,"性质,全",n,,,,,,,,,
203859,放宽,,,"变,松",v,,,,,,,,,
203861,兑现,,,"达到,成功",v,,,,,,,,,
203863,油气,,,"气,油",n,,,,,,,,,
203865,管理人,,,,n,,,,,,,,,
203867,铁矿石,,,"石,材料,地,铁",0,,,,,,,,,
203869,舜天,,,,nt,,,,,,,,,
203871,承接,,,"得到,承担",v,,,,,,,,,
203873,存储,,,"放置,保护",vn,,,,,,,,,
203875,均衡,,,"固定,也V",a,,,,,,,,,
203877,水准,,,程度,n,,,,,,,,,
203879,比利时,,,"国家,B,E,L",LOC,,,,,,,,,
203881,成立于,,,,v,,,,,,,,,
203883,惊人,,,"ZA,惊",a,,,,,,,,,
203887,居然,,,"超过,想象",d,,,,,,,,,
203889,长时间,,,"长,时间",n,,,,,,,,,
203891,多大,,,,a,,,,,,,,,
203893,成效,,,"情况,用N",n,,,,,,,,,
203899,保养,,,保护,vn,,,,,,,,,
203901,两地,,,,n,,,,,,,,,
203905,零部件,,,部件,n,,,,,,,,,
203909,学员,,,"人,学习",n,,,,,,,,,
203911,坚定,,,固定,a,,,,,,,,,
203913,二维码,,,,n,,,,,,,,,
203915,新西兰,,,"国家,N,Z,L",LOC,,,,,,,,,
203917,图集,,,"组,图,写",n,,,,,,,,,
203919,解析,,,"研究,分",vn,,,,,,,,,
203923,调侃,,,"说,笑,玩",v,,,,,,,,,
203925,无锡,,,,LOC,,,,,,,,,
203927,较少,,,,a,,,,,,,,,
203929,几个月,,,,n,,,,,,,,,
203931,社交,,,"连接,互相,社会",n,,,,,,,,,
203933,资者,,,,n,,,,,,,,,
203935,公民,,,"人,国家",n,,,,,,,,,
203937,将使,,,,v,,,,,,,,,
203939,靠近,,,"短V,分",v,,,,,,,,,
203941,短短,,,"时间,短",a,,,,,,,,,
203943,材质,,,"成分,材料",n,,,,,,,,,
203945,发送,,,传,vn,,,,,,,,,
203949,颁布,,,"告诉,正式,广泛",v,,,,,,,,,
203951,帮忙,,,帮助,v,,,,,,,,,
203955,创建,,,"建,新",v,,,,,,,,,
203957,加油,,,"努力,多V",v,,,,,,,,,
203959,学者,,,"人,研究",PER,,,,,,,,,
203961,查阅,,,"看,检查",v,,,,,,,,,
203963,安保,,,安全,n,,,,,,,,,
203965,一年内,,,,0,,,,,,,,,
203967,副本,,,"纸,补A",n,,,,,,,,,
203969,帕克,,,,PER,,,,,,,,,
203971,美丽,,,美,an,,,,,,,,,
203973,哪里,,,"什么,位置",F,,,,,,,,,
203975,国会,,,"部门,会议,国家",ORG,,,,,,,,,
203977,和风,,,,n,,,,,,,,,
203979,过高,,,,a,,,,,,,,,
203981,复核,,,"检查,又",vn,,,,,,,,,
203983,茅台,,,,0,,,,,,,,,
203985,分手,,,分,v,,,,,,,,,
203987,不一样,,,,a,,,,,,,,,
203989,孙悦,,,,PER,,,,,,,,,
203991,诸如,,,"是,例子",v,,,,,,,,,
203993,对日,,,,t,,,,,,,,,
203995,对决,,,,vn,,,,,,,,,
203997,豪宅,,,,n,,,,,,,,,
203999,受访者,,,,vn,,,,,,,,,
204001,手续费,,,"资金,少V,用,操作",n,,,,,,,,,
204003,四川省,,,,LOC,,,,,,,,,
204005,偶像,,,"人,喜欢,尊重",PER,,,,,,,,,
204007,多达,,,,v,,,,,,,,,
204009,高通,,,,ORG,,,,,,,,,
204011,携程,,,,0,,,,,,,,,
204013,中韩,,,,LOC,,,,,,,,,
204015,变为,,,成为,v,,,,,,,,,
204017,投篮,,,,vn,,,,,,,,,
204019,月饼,,,"块,麦,圆,月",1,,,,,,,,,
204021,行长,,,"领导,最,。,企业,资金,操作",n,,,,,,,,,
204023,文明,,,"美,做N",n,,,,,,,,,
204025,舒适,,,"好,感觉",a,,,,,,,,,
204027,办公,,,"做,工作",vn,,,,,,,,,
204029,预订,,,"选择,固定,以前D",vn,,,,,,,,,
204031,定制,,,"生产,只,特殊",v,,,,,,,,,
204033,小牛,,,"羊,力,小",nt,,,,,,,,,
204035,签字,,,"写,名",v,,,,,,,,,
204037,承受,,,承担,vn,,,,,,,,,
204039,街头,,,"路,房屋",s,,,,,,,,,
204041,亿人,,,,0,,,,,,,,,
204047,如有,,,,v,,,,,,,,,
204049,债市,,,,n,,,,,,,,,
204055,大智慧,,,,PER,,,,,,,,,
204057,挂钩,,,连接,v,,,,,,,,,
204059,机械,,,"机,具",n,,,,,,,,,
204061,好像,,,像,d,,,,,,,,,
204063,趋于,,,"发展,向",v,,,,,,,,,
204065,提速,,,"数量,快,多V",v,,,,,,,,,
204067,在建,,,"建,现在D",vn,,,,,,,,,
204069,双重,,,"方面,2",a,,,,,,,,,
204071,开赛,,,"竞争,规则,开始",vn,,,,,,,,,
204073,增减,,,"少V,多V",vn,,,,,,,,,
204077,保监会,,,,ORG,,,,,,,,,
204079,乘用车,,,,0,,,,,,,,,
204081,起步,,,开始,vn,,,,,,,,,
204085,温馨,,,"感觉,好,热",a,,,,,,,,,
204087,极致,,,"ZN,最",n,,,,,,,,,
204089,邓肯,,,,PER,,,,,,,,,
204091,据此,,,"依靠,这",d,,,,,,,,,
204093,德甲,,,,0,,,,,,,,,
204097,渐渐,,,逐渐,d,,,,,,,,,
204099,变身,,,,vn,,,,,,,,,
204101,股票型,,,,n,,,,,,,,,
204103,正规,,,正式,a,,,,,,,,,
204105,赋予,,,给,v,,,,,,,,,
204107,明白,,,"知道,清楚",V,,,,,,,,,
204109,内心,,,灵魂,n,,,,,,,,,
204111,联通,,,,ORG,,,,,,,,,
204113,管控,,,限制,vn,,,,,,,,,
204115,费率,,,,n,,,,,,,,,
204117,剧组,,,,n,,,,,,,,,
204121,注册制,,,,n,,,,,,,,,
204125,而今,,,现在,t,,,,,,,,,
204129,递交,,,给,v,,,,,,,,,
204131,全民,,,"人,全",n,,,,,,,,,
204135,向公,,,,nr,,,,,,,,,
204137,交易单,,,,n,,,,,,,,,
204139,震撼,,,"动,强,感觉",v,,,,,,,,,
204141,刘某,,,,PER,,,,,,,,,
204143,议题,,,"方面,讨论,主要",n,,,,,,,,,
204145,计算机,,,"机,想",n,,,,,,,,,
204147,瓶颈,,,,n,,,,,,,,,
204151,赛程,,,,n,,,,,,,,,
204155,伙伴,,,"人,一起",n,,,,,,,,,
204157,缩水,,,"小V,水",vn,,,,,,,,,
204159,来临,,,来,v,,,,,,,,,
204163,座椅,,,"台,坐,依靠",n,,,,,,,,,
204165,场面,,,"显示N,情况",n,,,,,,,,,
204167,罗斯,,,,PER,,,,,,,,,
204169,其内,,,,s,,,,,,,,,
204171,诠释,,,解释,vn,,,,,,,,,
204173,世界上,,,,s,,,,,,,,,
204175,至关重要,,,"重要,很",a,,,,,,,,,
204177,开支,,,"用,少V,资金",n,,,,,,,,,
204179,精品,,,"物,好,很",n,,,,,,,,,
204181,援助,,,帮助,vn,,,,,,,,,
204183,场外,,,,s,,,,,,,,,
204185,跨界,,,,vn,,,,,,,,,
204189,红包,,,,n,,,,,,,,,
204191,保安,,,保护,n,,,,,,,,,
204193,各方面,,,"方面,各",n,,,,,,,,,
204195,琼斯,,,,nr,,,,,,,,,
204197,助理,,,"人,帮助,补A",PER,,,,,,,,,
204199,据说,,,"听,达到,曾经",d,,,,,,,,,
204201,中文,,,"字符,国家,C,N",nz,,,,,,,,,
204203,团购,,,,vn,,,,,,,,,
204205,年产,,,"生产,年",v,,,,,,,,,
204209,角球,,,,n,,,,,,,,,
204211,低开,,,,vn,,,,,,,,,
204213,章子怡,,,,PER,,,,,,,,,
204215,大增,,,,v,,,,,,,,,
204219,专电,,,,n,,,,,,,,,
204221,高价,,,"价格,高",n,,,,,,,,,
204223,随意,,,自由D,a,,,,,,,,,
204225,油耗,,,,n,,,,,,,,,
204227,有明,,,,v,,,,,,,,,
204229,河南省,,,,LOC,,,,,,,,,
204231,巨额,,,"多,很",a,,,,,,,,,
204233,药物,,,药,n,,,,,,,,,
204235,每吨,,,,r,,,,,,,,,
204239,关键字,,,,n,,,,,,,,,
204241,人和,,,"友好,人",n,,,,,,,,,
204245,设计师,,,"人,计划",PER,,,,,,,,,
204247,大幅度,,,"大,范围,程度",d,,,,,,,,,
204249,卡卡,,,,nr,,,,,,,,,
204251,年会,,,"会议,年",0,,,,,,,,,
204253,证书,,,证明N,n,,,,,,,,,
204255,不俗,,,,a,,,,,,,,,
204257,差别,,,区分N,n,,,,,,,,,
204259,编剧,,,"人,故事,操作",PER,,,,,,,,,
204261,无线,,,,a,,,,,,,,,
204263,电站,,,"部门,电,产生",0,,,,,,,,,
204267,判罚,,,,v,,,,,,,,,
204269,美食,,,"物,吃,好",n,,,,,,,,,
204273,自家,,,自己,r,,,,,,,,,
204275,提起,,,"告诉,关于",v,,,,,,,,,
204277,金银,,,"金,5,秩序0,金",n,,,,,,,,,
204279,供应链,,,,n,,,,,,,,,
204281,眼下,,,现在,t,,,,,,,,,
204283,付费,,,,v,,,,,,,,,
204285,美容,,,"使,美,面,头",vn,,,,,,,,,
204287,命运,,,运气,n,,,,,,,,,
204291,汪峰,,,,PER,,,,,,,,,
204295,轻易,,,容易,a,,,,,,,,,
204297,庞大,,,"大,很",a,,,,,,,,,
204299,净增,,,多V,v,,,,,,,,,
204301,带给,,,"给,带",v,,,,,,,,,
204303,保证金,,,"资金,承担,固定",n,,,,,,,,,
204305,西甲,,,,0,,,,,,,,,
204307,卖家,,,,n,,,,,,,,,
204309,横扫,,,"消除,全",v,,,,,,,,,
204311,亚洲杯,,,,0,,,,,,,,,
204313,洛杉矶,,,,LOC,,,,,,,,,
204315,跟着,,,跟随,d,,,,,,,,,
204317,判处,,,"选择,权力,规则,国家",v,,,,,,,,,
204319,年中,,,"中,年",0,,,,,,,,,
204323,金正恩,,,,PER,,,,,,,,,
204325,进场,,,"地方,里V",vn,,,,,,,,,
204327,制造商,,,,ORG,,,,,,,,,
204329,讲述,,,说,v,,,,,,,,,
204331,证券法,,,,n,,,,,,,,,
204333,当周,,,,t,,,,,,,,,
204335,个性化,,,"特殊,变",vn,,,,,,,,,
204337,蓝筹,,,,n,,,,,,,,,
204339,创出,,,,v,,,,,,,,,
204341,华夏,,,"国家,C,N",ORG,,,,,,,,,
204343,得出,,,得到,v,,,,,,,,,
204345,温格,,,,PER,,,,,,,,,
204347,二期,,,,m,,,,,,,,,
204349,操控,,,,vn,,,,,,,,,
204351,转发,,,"给,传",v,,,,,,,,,
204353,轴距,,,,n,,,,,,,,,
204355,标识,,,"建,标志",n,,,,,,,,,
204357,势力,,,"能力,影响",n,,,,,,,,,
204359,脱离,,,分,v,,,,,,,,,
204361,味道,,,味,n,,,,,,,,,
204363,外表,,,"面,外",n,,,,,,,,,
204365,珠海,,,,LOC,,,,,,,,,
204367,港币,,,"资金,k,h",0,,,,,,,,,
204369,破位,,,,vn,,,,,,,,,
204371,队员们,,,,n,,,,,,,,,
204373,走出去,,,,v,,,,,,,,,
204375,偏低,,,,a,,,,,,,,,
204377,阻力位,,,,nz,,,,,,,,,
204379,参照,,,模仿,v,,,,,,,,,
204381,中性,,,"性质,中",n,,,,,,,,,
204383,热身赛,,,,0,,,,,,,,,
204385,跻身,,,里V,v,,,,,,,,,
204387,身穿,,,"带,结合",v,,,,,,,,,
204389,扩容,,,"范围,放置,多V",vn,,,,,,,,,
204391,精准,,,,a,,,,,,,,,
204393,多空,,,,nz,,,,,,,,,
204395,多单,,,,n,,,,,,,,,
204397,录制,,,"生产,记,物",vn,,,,,,,,,
204399,暴涨,,,"上V,强",v,,,,,,,,,
204401,专注,,,"注意,集中",v,,,,,,,,,
204403,稍微,,,稍,d,,,,,,,,,
204407,五粮液,,,,0,,,,,,,,,
204409,开放式,,,,a,,,,,,,,,
204415,高清,,,,a,,,,,,,,,
204417,收视,,,,vn,,,,,,,,,
204419,过往,,,"去,来",vn,,,,,,,,,
204421,早前,,,,t,,,,,,,,,
204423,规避,,,"阻止,遇",v,,,,,,,,,
204425,聘任,,,"要求,承担,工作",v,,,,,,,,,
204429,中路,,,"路,中",n,,,,,,,,,
204431,得益于,,,,v,,,,,,,,,
204433,开心,,,高兴,an,,,,,,,,,
204435,划分,,,分,vn,,,,,,,,,
204437,机型,,,,n,,,,,,,,,
204441,榜单,,,,n,,,,,,,,,
204443,沃尔沃,,,,ORG,,,,,,,,,
204445,除非,,,"如果,无",c,,,,,,,,,
204447,疲弱,,,,v,,,,,,,,,
204449,中信,,,,ORG,,,,,,,,,
204451,不知,,,,v,,,,,,,,,
204453,新技术,,,,n,,,,,,,,,
